noc,iso3,country_name,sport,year,total_medals,gold_medals,prev_total_medals,prev_gold_medals,rolling3_prev_medals,medal_growth,gold_growth,above_recent_baseline,first_medal_bonus,continuity_bonus,sport_total_medals,sport_total_growth,sport_expansion_penalty,olympic_leap_index
USA,USA,United States,Athletics,2008,23,7,25.0,9.0,21.333333333333332,-2.0,-2.0,1.6666666666666679,0,1.0,140,4.0,4.0,-2.6502109808013405
BEL,BEL,Belgium,Cycling,1960,2,0,3.0,2.0,2.3333333333333335,-1.0,-2.0,0.0,0,1.0,18,0.0,0.0,-2.650439924334899
URS,URS,Soviet Union,Boxing,1960,5,1,6.0,3.0,6.0,-1.0,-2.0,0.0,0,1.0,40,0.0,0.0,-2.650439924334899
IRI,IRN,Iran,Wrestling,1960,3,0,4.0,2.0,4.5,-1.0,-2.0,0.0,0,1.0,48,0.0,0.0,-2.650439924334899
GER,DEU,Germany,Boxing,1996,4,0,4.0,2.0,3.3333333333333335,0.0,-2.0,0.6666666666666665,0,1.0,48,0.0,0.0,-2.6539159597869872
JPN,JPN,Japan,Swimming,2020,3,2,7.0,2.0,7.666666666666667,-4.0,0.0,0.0,0,1.0,105,1.0,1.0,-2.656519401051194
ALG,DZA,Algeria,Athletics,2012,1,1,4.0,1.0,2.0,-3.0,0.0,0.0,0,1.0,143,3.0,3.0,-2.657073280140107
CAN,CAN,Canada,Equestrianism,2016,1,0,2.0,1.0,1.3333333333333333,-1.0,-1.0,0.0,0,0.0,18,0.0,0.0,-2.6655876245533756
TUR,TUR,Turkey,Athletics,2016,1,0,2.0,1.0,1.3333333333333333,-1.0,-1.0,0.0,0,0.0,141,-2.0,0.0,-2.6655876245533756
CZE,CZE,Czechia,Rowing,2016,1,0,2.0,1.0,1.3333333333333333,-1.0,-1.0,0.0,0,0.0,42,0.0,0.0,-2.6655876245533756
EST,EST,Estonia,Athletics,2012,1,0,1.0,1.0,1.0,0.0,-1.0,0.0,0,0.0,143,3.0,3.0,-2.6659259497807506
SLO,SVN,Slovenia,Athletics,2012,1,0,1.0,1.0,1.0,0.0,-1.0,0.0,0,0.0,143,3.0,3.0,-2.6659259497807506
NOR,NOR,Norway,Shooting,1936,1,1,4.0,2.0,5.666666666666667,-3.0,-1.0,0.0,0,1.0,9,3.0,3.0,-2.666373942318658
USA,USA,United States,Athletics,1996,23,13,30.0,12.0,32.0,-7.0,1.0,0.0,0,1.0,132,1.0,1.0,-2.66952342173011
AUS,AUS,Australia,Sailing,2016,4,1,4.0,3.0,3.6666666666666665,0.0,-2.0,0.3333333333333335,0,1.0,30,0.0,0.0,-2.674860060374959
ROU,ROU,Romania,Boxing,1960,1,0,4.0,1.0,3.0,-3.0,-1.0,0.0,0,1.0,40,0.0,0.0,-2.6753932154065097
USA,USA,United States,Diving,1960,6,2,9.0,3.0,9.333333333333334,-3.0,-1.0,0.0,0,1.0,12,0.0,0.0,-2.6753932154065097
SCG,SCG,Serbia,Shooting,2000,1,0,2.0,1.0,2.5,-1.0,-1.0,0.0,0,1.0,51,6.0,6.0,-2.681193707600088
SWE,SWE,Sweden,Wrestling,1952,8,3,13.0,5.0,10.666666666666666,-5.0,-2.0,0.0,0,1.0,48,0.0,0.0,-2.683516682617152
NOR,NOR,Norway,Shooting,1912,2,0,3.0,2.0,2.6666666666666665,-1.0,-2.0,0.0,0,1.0,54,9.0,9.0,-2.685662655808754
GBR,GBR,United Kingdom,Cycling,1996,2,0,1.0,1.0,1.0,1.0,-1.0,1.0,0,1.0,42,12.0,12.0,-2.7017978131078055
USA,USA,United States,Weightlifting,1964,2,0,6.0,1.0,6.333333333333333,-4.0,-1.0,0.0,0,1.0,21,0.0,0.0,-2.707369101745812
GRE,GRC,Greece,Athletics,1904,1,0,9.0,1.0,9.0,-8.0,-1.0,0.0,0,1.0,72,3.0,3.0,-2.7248901982112206
UZB,UZB,Uzbekistan,Boxing,2012,1,0,2.0,0.0,2.0,-1.0,0.0,0.0,0,1.0,52,8.0,8.0,-2.7254462471166
USA,USA,United States,Wrestling,1936,4,1,5.0,3.0,4.333333333333333,-1.0,-2.0,0.0,0,1.0,42,0.0,0.0,-2.7263072654541594
YUG,YUG,Serbia,Judo,1980,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,32,7.0,7.0,-2.7351743507866098
